iter	Logloss
0	0.6911295007
1	0.6894109431
2	0.68780699
3	0.6865025925
4	0.6851155919
5	0.6840106411
6	0.6831253722
7	0.6822223771
8	0.6814695405
9	0.6808563588
10	0.6802214699
11	0.6794777973
12	0.6790118746
13	0.6785696198
14	0.67818729
15	0.6777820771
16	0.6772959212
17	0.6770307773
18	0.6767841175
19	0.6765858131
20	0.6764358285
21	0.6763028229
22	0.6761935735
23	0.676083485
24	0.6759937676
25	0.675919262
26	0.6757388027
27	0.675642538
28	0.6753564551
29	0.6753124678
30	0.6752674966
31	0.6749982198
32	0.6747985801
33	0.6747719959
34	0.6746950292
35	0.6746618341
36	0.6746618195
37	0.6746408499
38	0.6746211104
39	0.6745611481
40	0.6743623371
41	0.6742775093
42	0.6742584256
43	0.6740975847
44	0.6740780819
45	0.6740624684
46	0.6740526759
47	0.6740420667
48	0.6738766282
49	0.6737261509
50	0.6736070155
51	0.6736070123
52	0.6733194734
53	0.6731545819
54	0.6730927197
55	0.6730335809
56	0.6730335801
57	0.6727915071
58	0.6727283525
59	0.6724921323
60	0.6723083349
61	0.6720697612
62	0.6720677315
63	0.6717210905
64	0.6716750161
65	0.671623943
66	0.6715225523
67	0.6715003336
68	0.6714961474
69	0.6714961474
70	0.6712081178
71	0.6712081178
72	0.671194848
73	0.6711571264
74	0.6709723869
75	0.67085179
76	0.670749427
77	0.6706518175
78	0.6706517625
79	0.6704716612
80	0.6703819932
81	0.6701478474
82	0.6701478474
83	0.6701446876
84	0.6699754997
85	0.6699754993
86	0.669972706
87	0.6699569633
88	0.669850459
89	0.6697235785
90	0.6697196886
91	0.6697195173
92	0.6696691379
93	0.6694049053
94	0.6691604626
95	0.6690424351
96	0.6690408131
97	0.6689121548
98	0.668577975
99	0.6685698869
100	0.6685698863
101	0.6685275932
102	0.6685166812
103	0.6684835681
104	0.6684835681
105	0.6684829947
106	0.6681792004
107	0.6681722413
108	0.6681082608
109	0.6681057907
110	0.6680989888
111	0.6680989548
112	0.668092191
113	0.6680921906
114	0.6680921887
115	0.6679502425
116	0.6679407775
117	0.6679407773
118	0.6678105158
119	0.6678104863
120	0.6677984242
121	0.6677421904
122	0.6676676875
123	0.6676581275
124	0.6674982663
125	0.6674979494
126	0.6673455102
127	0.6673455099
128	0.6673455098
129	0.667341506
130	0.6671912401
131	0.6668689856
132	0.6668689771
133	0.6666921389
134	0.666680969
135	0.6666809689
136	0.6665757555
137	0.6665452145
