iter	Passed	Remaining
0	14	14123
1	22	11299
2	37	12481
3	46	11678
4	62	12483
5	73	12218
6	82	11688
7	96	12017
8	106	11734
9	119	11820
10	133	12041
11	147	12121
12	159	12086
13	172	12155
14	182	12006
15	196	12056
16	210	12189
17	221	12096
18	232	12029
19	243	11914
20	252	11749
21	261	11637
22	269	11449
23	278	11314
24	287	11227
25	296	11103
26	311	11221
27	322	11188
28	337	11295
29	345	11170
30	356	11129
31	371	11238
32	385	11306
33	397	11290
34	414	11422
35	422	11325
36	429	11186
37	438	11111
38	447	11022
39	462	11099
40	477	11171
41	493	11247
42	505	11252
43	521	11338
44	533	11312
45	541	11227
46	552	11202
47	562	11161
48	578	11230
49	594	11299
50	610	11369
51	618	11266
52	633	11310
53	647	11347
54	662	11384
55	678	11441
56	685	11347
57	701	11388
58	717	11442
59	733	11489
60	748	11523
61	765	11584
62	774	11516
63	789	11552
64	804	11567
65	820	11605
66	835	11627
67	850	11650
68	861	11629
69	868	11543
70	885	11590
71	892	11499
72	903	11473
73	916	11463
74	931	11488
75	946	11511
76	962	11532
77	976	11542
78	985	11486
79	1001	11522
80	1015	11522
81	1031	11545
82	1038	11468
83	1046	11406
84	1061	11422
85	1068	11352
86	1076	11295
87	1087	11267
88	1101	11276
89	1116	11289
90	1124	11237
91	1133	11184
92	1149	11205
93	1164	11225
94	1180	11245
95	1196	11268
96	1205	11222
97	1224	11267
98	1239	11279
99	1253	11280
100	1260	11215
101	1273	11211
102	1282	11168
103	1294	11151
104	1301	11092
105	1312	11065
106	1326	11073
107	1337	11046
108	1350	11043
109	1359	11002
110	1371	10985
111	1381	10955
112	1392	10929
113	1400	10887
114	1409	10844
115	1425	10862
116	1435	10836
117	1442	10782
118	1458	10797
119	1466	10756
120	1478	10743
121	1495	10762
122	1510	10768
123	1519	10735
124	1536	10754
125	1546	10727
126	1561	10730
127	1568	10682
128	1574	10632
129	1586	10615
130	1600	10617
131	1616	10632
132	1625	10599
133	1642	10612
134	1656	10612
135	1663	10568
136	1679	10576
137	1695	10589
138	1709	10589
139	1725	10601
140	1739	10598
141	1748	10562
142	1762	10561
143	1777	10567
144	1793	10574
145	1808	10579
146	1815	10535
147	1824	10501
148	1840	10512
149	1854	10506
150	1860	10462
151	1878	10478
152	1893	10483
153	1902	10450
154	1916	10448
155	1926	10424
156	1934	10384
157	1949	10390
158	1958	10359
159	1970	10343
160	1977	10304
161	1988	10286
162	1995	10245
163	2008	10238
164	2015	10199
165	2030	10201
166	2046	10206
167	2061	10209
168	2074	10200
169	2081	10163
170	2096	10162
171	2110	10161
172	2117	10122
173	2126	10096
174	2142	10098
175	2156	10097
176	2172	10099
177	2188	10104
178	2203	10105
179	2219	10112
180	2227	10078
181	2243	10083
182	2259	10087
183	2274	10087
184	2283	10059
185	2299	10063
186	2316	10070
187	2333	10077
188	2350	10086
189	2366	10090
190	2383	10095
191	2398	10094
192	2414	10096
